ds,unique_id,y
0:53,LaneA21,81
0:53,LaneA67,43
0:53,LaneA3,27
0:53,LaneA17,0
0:54,LaneA21,84
0:54,LaneA67,63
0:54,LaneA3,15
0:54,LaneA17,10
0:55,LaneA21,72
0:55,LaneA67,59
0:55,LaneA3,24
0:55,LaneA17,23
0:56,LaneA21,29
0:56,LaneA67,49
0:56,LaneA3,40
0:56,LaneA17,35
0:57,LaneA21,59
0:57,LaneA67,34
0:57,LaneA3,46
0:57,LaneA17,40
0:58,LaneA21,77
0:58,LaneA67,22
0:58,LaneA3,40
0:58,LaneA17,41
0:59,LaneA21,85
0:59,LaneA67,23
0:59,LaneA3,24
0:59,LaneA17,22
1:00,LaneA21,102
1:00,LaneA67,12
1:00,LaneA3,0
1:00,LaneA17,28
1:01,LaneA21,57
1:01,LaneA67,14
1:01,LaneA3,11
1:01,LaneA17,20
1:02,LaneA21,29
1:02,LaneA67,20
1:02,LaneA3,14
1:02,LaneA17,36
1:03,LaneA21,31
1:03,LaneA67,11
1:03,LaneA3,45
1:03,LaneA17,64
1:04,LaneA21,38
1:04,LaneA67,20
1:04,LaneA3,46
1:04,LaneA17,40
1:05,LaneA21,46
1:05,LaneA67,36
1:05,LaneA3,39
1:05,LaneA17,64
1:06,LaneA21,77
1:06,LaneA67,62
1:06,LaneA3,59
1:06,LaneA17,47
1:07,LaneA21,40
1:07,LaneA67,52
1:07,LaneA3,63
1:07,LaneA17,24
1:08,LaneA21,33
1:08,LaneA67,57
1:08,LaneA3,40
1:08,LaneA17,26
1:09,LaneA21,74
1:09,LaneA67,70
1:09,LaneA3,71
1:09,LaneA17,37
1:10,LaneA21,68
1:10,LaneA67,8
1:10,LaneA3,64
1:10,LaneA17,7
1:11,LaneA21,45
1:11,LaneA67,27
1:11,LaneA3,45
1:11,LaneA17,28
1:12,LaneA21,74
1:12,LaneA67,56
1:12,LaneA3,60
1:12,LaneA17,26
1:13,LaneA21,81
1:13,LaneA67,47
1:13,LaneA3,63
1:13,LaneA17,29
1:14,LaneA21,57
1:14,LaneA67,56
1:14,LaneA3,37
1:14,LaneA17,36
1:15,LaneA21,68
1:15,LaneA67,83
1:15,LaneA3,38
1:15,LaneA17,38
1:16,LaneA21,84
1:16,LaneA67,61
1:16,LaneA3,10
1:16,LaneA17,6
1:17,LaneA21,64
1:17,LaneA67,47
1:17,LaneA3,20
1:17,LaneA17,0
1:18,LaneA21,75
1:18,LaneA67,68
1:18,LaneA3,41
1:18,LaneA17,0
1:19,LaneA21,61
1:19,LaneA67,24
1:19,LaneA3,50
1:19,LaneA17,14
1:20,LaneA21,61
1:20,LaneA67,32
1:20,LaneA3,43
1:20,LaneA17,0
1:21,LaneA21,46
1:21,LaneA67,50
1:21,LaneA3,10
1:21,LaneA17,13
1:22,LaneA21,56
1:22,LaneA67,51
1:22,LaneA3,0
1:22,LaneA17,42
1:23,LaneA21,55
1:23,LaneA67,67
