Say Plaka;Sütun Etiketleri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satýr Etiketleri;LaneA1;LaneA10;LaneA100;LaneA101;LaneA102;LaneA103;LaneA104;LaneA105;LaneA106;LaneA107;LaneA108;LaneA109;LaneA11;LaneA110;LaneA111;LaneA112;LaneA113;LaneA114;LaneA115;LaneA116;LaneA117;LaneA118;LaneA119;LaneA12;LaneA120;LaneA121;LaneA122;LaneA123;LaneA124;LaneA125;LaneA126;LaneA127;LaneA128;LaneA129;LaneA13;LaneA130;LaneA131;LaneA132;LaneA133;LaneA134;LaneA135;LaneA136;LaneA137;LaneA138;LaneA139;LaneA14;LaneA140;LaneA141;LaneA142;LaneA143;LaneA144;LaneA145;LaneA146;LaneA147;LaneA148;LaneA149;LaneA15;LaneA150;LaneA151;LaneA152;LaneA153;LaneA154;LaneA155;LaneA156;LaneA157;LaneA158;LaneA159;LaneA16;LaneA160;LaneA161;LaneA162;LaneA163;LaneA164;LaneA165;LaneA166;LaneA167;LaneA168;LaneA169;LaneA17;LaneA170;LaneA171;LaneA172;LaneA173;LaneA174;LaneA175;LaneA176;LaneA177;LaneA178;LaneA179;LaneA18;LaneA180;LaneA181;LaneA182;LaneA183;LaneA184;LaneA185;LaneA186;LaneA187;LaneA188;LaneA189;LaneA19;LaneA190;LaneA191;LaneA192;LaneA193;LaneA194;LaneA195;LaneA196;LaneA197;LaneA198;LaneA199;LaneA2;LaneA20;LaneA200;LaneA201;LaneA202;LaneA203;LaneA204;LaneA205;LaneA206;LaneA207;LaneA208;LaneA209;LaneA21;LaneA210;LaneA211;LaneA212;LaneA213;LaneA214;LaneA215;LaneA216;LaneA217;LaneA218;LaneA219;LaneA22;LaneA220;LaneA221;LaneA222;LaneA223;LaneA224;LaneA225;LaneA226;LaneA227;LaneA228;LaneA229;LaneA23;LaneA230;LaneA231;LaneA232;LaneA233;LaneA234;LaneA235;LaneA236;LaneA237;LaneA238;LaneA239;LaneA24;LaneA240;LaneA241;LaneA242;LaneA243;LaneA244;LaneA245;LaneA246;LaneA247;LaneA248;LaneA249;LaneA25;LaneA250;LaneA251;LaneA252;LaneA253;LaneA254;LaneA255;LaneA256;LaneA257;LaneA258;LaneA259;LaneA26;LaneA260;LaneA261;LaneA262;LaneA263;LaneA264;LaneA265;LaneA266;LaneA267;LaneA268;LaneA269;LaneA27;LaneA270;LaneA271;LaneA272;LaneA273;LaneA274;LaneA275;LaneA276;LaneA277;LaneA278;LaneA279;LaneA28;LaneA280;LaneA281;LaneA282;LaneA283;LaneA284;LaneA285;LaneA286;LaneA287;LaneA288;LaneA289;LaneA29;LaneA290;LaneA291;LaneA292;LaneA293;LaneA294;LaneA295;LaneA296;LaneA297;LaneA298;LaneA299;LaneA3;LaneA30;LaneA300;LaneA301;LaneA302;LaneA303;LaneA304;LaneA305;LaneA306;LaneA307;LaneA308;LaneA309;LaneA31;LaneA310;LaneA311;LaneA312;LaneA313;LaneA314;LaneA315;LaneA316;LaneA317;LaneA318;LaneA319;LaneA32;LaneA320;LaneA321;LaneA322;LaneA323;LaneA324;LaneA325;LaneA326;LaneA327;LaneA328;LaneA329;LaneA33;LaneA330;LaneA331;LaneA332;LaneA333;LaneA334;LaneA335;LaneA336;LaneA337;LaneA338;LaneA339;LaneA34;LaneA340;LaneA341;LaneA342;LaneA343;LaneA344;LaneA345;LaneA346;LaneA347;LaneA348;LaneA349;LaneA35;LaneA350;LaneA351;LaneA352;LaneA353;LaneA354;LaneA355;LaneA356;LaneA357;LaneA358;LaneA359;LaneA36;LaneA360;LaneA361;LaneA362;LaneA363;LaneA364;LaneA365;LaneA366;LaneA367;LaneA368;LaneA369;LaneA37;LaneA370;LaneA371;LaneA372;LaneA373;LaneA374;LaneA375;LaneA376;LaneA377;LaneA378;LaneA379;LaneA38;LaneA380;LaneA381;LaneA382;LaneA383;LaneA384;LaneA385;LaneA386;LaneA387;LaneA388;LaneA389;LaneA39;LaneA390;LaneA391;LaneA392;LaneA393;LaneA394;LaneA395;LaneA396;LaneA397;LaneA398;LaneA399;LaneA4;LaneA40;LaneA400;LaneA401;LaneA402;LaneA403;LaneA404;LaneA405;LaneA406;LaneA407;LaneA408;LaneA409;LaneA41;LaneA410;LaneA411;LaneA412;LaneA413;LaneA414;LaneA415;LaneA416;LaneA417;LaneA418;LaneA419;LaneA42;LaneA420;LaneA421;LaneA422;LaneA423;LaneA424;LaneA425;LaneA426;LaneA427;LaneA428;LaneA429;LaneA43;LaneA430;LaneA431;LaneA432;LaneA433;LaneA434;LaneA435;LaneA436;LaneA437;LaneA438;LaneA439;LaneA44;LaneA440;LaneA441;LaneA442;LaneA443;LaneA444;LaneA445;LaneA446;LaneA447;LaneA448;LaneA449;LaneA45;LaneA450;LaneA451;LaneA452;LaneA453;LaneA454;LaneA455;LaneA456;LaneA457;LaneA458;LaneA459;LaneA46;LaneA460;LaneA461;LaneA462;LaneA463;LaneA464;LaneA465;LaneA466;LaneA467;LaneA468;LaneA469;LaneA47;LaneA470;LaneA471;LaneA472;LaneA473;LaneA474;LaneA475;LaneA476;LaneA477;LaneA478;LaneA479;LaneA48;LaneA480;LaneA481;LaneA482;LaneA483;LaneA484;LaneA485;LaneA486;LaneA487;LaneA488;LaneA489;LaneA49;LaneA490;LaneA491;LaneA492;LaneA493;LaneA494;LaneA495;LaneA496;LaneA497;LaneA498;LaneA499;LaneA5;LaneA50;LaneA500;LaneA501;LaneA502;LaneA503;LaneA504;LaneA505;LaneA506;LaneA507;LaneA508;LaneA509;LaneA51;LaneA510;LaneA511;LaneA512;LaneA513;LaneA514;LaneA515;LaneA516;LaneA517;LaneA518;LaneA519;LaneA52;LaneA520;LaneA521;LaneA522;LaneA523;LaneA524;LaneA525;LaneA526;LaneA527;LaneA528;LaneA529;LaneA53;LaneA530;LaneA531;LaneA532;LaneA533;LaneA534;LaneA535;LaneA536;LaneA537;LaneA538;LaneA539;LaneA54;LaneA540;LaneA541;LaneA542;LaneA55;LaneA56;LaneA57;LaneA58;LaneA59;LaneA6;LaneA60;LaneA61;LaneA62;LaneA63;LaneA64;LaneA65;LaneA66;LaneA67;LaneA68;LaneA69;LaneA7;LaneA70;LaneA71;LaneA72;LaneA73;LaneA74;LaneA75;LaneA76;LaneA77;LaneA78;LaneA79;LaneA8;LaneA80;LaneA81;LaneA82;LaneA83;LaneA84;LaneA85;LaneA86;LaneA87;LaneA88;LaneA89;LaneA9;LaneA90;LaneA91;LaneA92;LaneA93;LaneA94;LaneA95;LaneA96;LaneA97;LaneA98;LaneA99;Genel Toplam
:41;13;2;;;2;2;;;;;;;;;;;3;;;;;;;27;6;6;;;;;;;;;16;;;22;;;;;;;;;2;;;;5;;;;;;;;2;2;;;;;;;;;;;;;;;;;4;13;14;;5;21;;;7;;;;7;;;5;;;;;;;;3;14;;;;2;;;;;;;;;;;;;;;6;;;;50;;;;2;;;6;;;;;;;;;;;;;6;;10;;;;;;2;;;;;2;;;;2;;;;;19;;40;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;3;;;;;;;;7;;;;;;30;;;8;;;;;6;;;;2;;;;;;;;;;;17;;23;;;3;;3;20;;;;;;;;;;;;;;4;;;;;;;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;13;;;;;;;;;4;;2;4;;;;;;;;;;;;2;;18;2;13;2;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;7;;;;;8;;10;;20;6;11;;22;;;;;;;28;;;;;;12;;;;;;;2;;;;;;;14;823
:42;31;;;;;;;27;7;;;;;;;;;;;2;2;;;15;12;18;;;;;;;;;;;;24;;;;;;;;;10;9;;;28;2;;;2;5;;;;6;;;4;;;;;14;;;;;11;;;;;;17;;;;7;;;;;;;17;;;;;;;;;;;;;;;6;;;;4;;;;11;;;;;;;3;;2;;66;;;;2;;;;;;;;;;;;;;2;;7;;19;;;;;;7;;;;;;;;;;;;;;;;14;;2;;;;;;;;;32;;2;4;4;;;;;5;;;;;;;;;9;;;;40;;;;;;;;;;;;2;;;;;;;;;;16;;;4;;;;;3;;;;;;;;;;;;;;;19;;;;;;4;;17;;;;;;;;;;;;7;;2;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;13;;;;;;;11;;;;;;;;;;;;;;;;2;;6;;;;;;;;;;;36;;;;;;;;4;;;;;5;;10;;10;2;2;6;4;3;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;2;8;;24;;2;22;;;3;9;;;;17;;;4;;;;14;;;;;;6;;;;;;;2;;;;;;;;894
:43;43;;;;;;;11;4;;;;;;;;;;;3;5;;;4;2;10;;;;;;;;;;;;14;;;;;;;;11;12;;;;24;;;;;;;4;;5;;20;4;;;;;29;;;;;;;;;;;;;;4;10;;;;;;;8;;;;2;;;;;;;;;2;;3;;;;;;;;;;;;;;;4;;6;;40;;;;;;3;;3;5;;;;;;;;;6;;;;18;;;;;;;;;;;;;;;;;;;;;;38;8;;;;;;;;;8;10;;2;;3;;;;;10;;;8;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;41;;;;3;;;4;2;;;;;;;;;;;;;;;27;;;;;2;;;;;;;;;;;;15;;;8;;4;;;;;;;;;;;49;;;;;;;;;;;3;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;7;2;;;3;;;;;;;;;;;;;;2;6;4;5;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;4;;11;;;;29;;;;18;6;;;10;;;;;;;22;;;2;;;;;;;;4;;;;;;;;;;841
:44;;;;;;27;;12;;;;;;;;;2;;;;5;;;3;5;;;;;;;;;;;;;;;;13;;;;;;7;;;;22;;;;;;3;5;;;;23;3;;;;;3;;;;;;;;;;;14;;;21;;;2;7;;;;15;;;;;;;;;;;;;4;;;;;;;;;;2;;;;9;;;5;;2;;70;;;;;;;;3;6;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;2;;47;22;;;;;;;;;;;;;;;;;;2;13;;;32;7;;;;;15;;;;14;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;3;;;;;;;;;;;;13;;;;17;;;;;;;;10;;6;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;3;;2;;;;;;;;;;;22;;;;;;;;11;2;;2;;;;;;;;;;;;10;2;4;22;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;18;;2;;5;;;;;29;;;;32;;;;9;6;;2;26;;;;;;;20;;;;;;;;;;;;2;;;;;;5;;;905
:45;;;;;11;;;;6;;;;;;;8;2;;2;;4;;;;;;;;;;;;;;;;;;;;11;;;;;;10;;;;16;;7;;;;;10;;;;18;6;;;;;;;;;;;;;;7;;9;;;10;9;;;;;;;;;;;3;;;;;;;19;;6;;;;;;;;3;;28;;;4;;6;;4;;;;77;;;17;;;;;5;2;;;30;;;;;;3;;;;16;;;;;;3;;2;2;;;;;;;;;;;;;12;9;;;3;;2;;;;;;;;;;;;;;;;;;4;;;;;9;;;;19;;6;;;;;;;;;;;;3;;;;;;;;38;;;;;;;;4;;;;;;;;2;;;;;;;23;7;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;8;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;7;;27;15;;;;3;;19;;;;40;;;;;8;;4;42;;5;;3;;;33;2;2;;;;;;2;;;;;;;13;2;;8;;;868
:46;;;;;6;;;;8;;;;;;;4;;;2;4;;;;6;;;;;;;;;;;;5;;;;;;;;;;;12;;;;19;;27;;2;;;;;;;7;;;2;;;10;;;;;;;;;5;4;18;;;;;;;;;;;8;5;;;3;2;4;6;;;;6;6;2;;;;4;;;;4;2;5;;;6;;2;;;;2;;48;2;;25;;;;;;;3;;10;;4;;5;;;11;;;11;;;;;;;3;;2;;;;;;;;;;;;;31;;;;;;;;;;;15;3;;;;;;;;;;;;;;;;;;;;7;;;10;;;;;;;;;;;;;;;;4;;;;22;;;3;2;;;;2;;;;;;;;;;;;;;;5;;8;;;;;;;;27;;;;;;;;;;5;;2;;;;;;;;;;;53;;;;;;;8;;;;;;;;;;;;;;;3;;;;;;;;;;;7;;5;;;;;2;;;;13;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;6;2;2;2;2;;2;4;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;20;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;25;38;20;7;;;;5;;;;;;43;;;;;5;;;25;;2;;;;;;;2;;;;;;;;;;;;17;3;3;4;12;;11;882
:47;16;;;;2;3;5;3;;;;;;;;;4;;;;;;11;2;;;;;;;;;;;;8;5;16;;;;;;;;3;;;8;2;32;3;44;;3;32;;2;;;;7;2;;;;;;;;;;;;;;2;19;19;3;;;;;;;;;;17;2;;;;;3;;;2;;12;;;;;;2;;;;;2;9;;;4;;;;;;2;;59;;;4;;;;;;;;;;;;;3;;4;17;;;;;2;;;;;;4;;;;;;;;;;;;;;43;;;;;;;;;;;29;;;;13;;;;;;;;;;;;;;;;;2;10;;;;;;;;;;;;;;;;;;5;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;8;2;;;;;;;11;;;;;;;;;;;;3;;;;;;;;;;;26;;;;;;;3;;;;;;;;;;;;;;;17;3;;;;;;;;;;;;4;;;;;;;;;28;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;2;;13;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;29;21;;;;;5;;;;;;49;;;;;;;2;37;;3;;;;;15;;;;;;18;;4;;;7;4;;;;;4;10;;2;984
:48;;20;15;;;10;4;12;9;;;;;;;;4;6;;;;3;8;14;;;;;;2;;;;;;;3;25;;;;;;;;7;;;9;2;;2;37;;;25;;;;7;;20;4;;;;;;;;;;;;;;;;19;12;3;2;;;;2;;;3;24;;;;;;;;;;3;44;;2;;;;;;;;;;29;5;;;12;;;;11;;;58;;;;;;;;;3;3;;;;;;;;;;;;14;;;;;;;;;;;;;2;;2;;;;5;;;68;;;;;;;;;;;2;;;;;;3;;;;;;;;;;;;6;;;;66;;17;;;;;;;;;;;;;;;2;5;2;2;2;50;;;;;2;;;;;;;;;;;;;;;;;;19;;2;3;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;11;;;;;2;;;;;;;;;;;;;;;;;;;;;6;;;;;;;3;;;;;;;;;19;;;;;;;;;3;;18;17;;;;;;;;;;;;;2;;;;;;;;;4;2;;;;;;;;;;;;;;4;;2;4;2;2;;;;;;;;;;;;;19;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;6;;;7;;8;;24;;;;59;;;;;12;;2;14;;;;;;;9;;;;;;23;;2;;;12;2;;;;5;;2;9;;1124
:49;12;3;5;;;20;;;;;12;;;;;;;4;;;;;8;5;3;;;;;;;;;;;;;26;;;;;;;;;;2;28;;;;18;;;;;2;;27;;5;;;;;;;;;5;;;;5;;8;;17;;3;2;;;;;;;5;12;;;;;;;;;;13;26;;;;;;;;;;;;33;4;;17;;;;2;4;;;64;;15;;;;;;;;;;;;;;;;;4;;;16;;;;;;;3;;;;;;;;;;;;;;;35;;;;;;;;;;;3;;;;;;;;;;;;;;;;3;;5;;;;47;;;;;;;2;;;;;;;;;;;2;;4;;53;;;7;;;;;;;;;;;;;;;;;;;;34;3;17;;;;;;;3;17;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;5;;4;;;;;;;;;;;;;;;;;;;;20;24;;;;;;;2;;;;16;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;4;3;;5;2;;;;;;;;;4;;;;;;;;;;;26;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;33;;;;;17;5;;;;;;6;37;;;;34;;;;;;;;2;;;;;;;19;;;;;;2;;;;;;;;;12;;;6;;;1018
:50;23;;;;;;;17;;;24;;;;;;;;;2;;;4;;;;;;;;;;;;8;;;2;;;;;;;;;3;3;25;;;;8;;;;;3;;7;;;;;;;;;3;;;;;;;;5;6;13;;2;;;;;;;;;;;;18;;;;;;;12;11;;;;;;;;;;;;7;;;;;;;2;;2;;86;;;;;;;;;;;;;;;;;;;28;;;23;;;;;;;2;;;;;;;;;;;;;;;26;;;;;;;;2;;;;;;;2;;;;30;;;;;;;;;;5;;;;9;;11;;25;;;2;;;;;;;;;;2;10;2;2;;36;;;8;;;;;;;;;;;2;;;;;;;;;;11;;;;;;;;9;26;;;;;;;;;;2;;;;;;;;;;;;;23;;;;;;;;;;;;;;2;;;;;;;;;;;;10;;11;;;;;37;;3;;;;;;;;;;;;;;;;;;;;8;2;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;13;;;;;15;22;;;;;;4;4;;;;24;4;;;15;;;4;;;;;;;;8;;;;;;;;;;;;;2;;14;;6;5;;3;887
:51;29;2;;;;6;;12;;;;;;;;;;;;;;;18;;;;;;;;;;;;17;;;5;;;;;;;;;3;8;15;;6;4;;;;;;;;3;;;;;;;;;4;;;;;;;;9;4;17;;;3;;;;;;;;;;;11;9;;;;;;2;;;;;;;;;;;;;14;;;;;;;;;2;;85;;;;;;;10;;;;;;;;;;;;9;;;20;;;;;;;;;;;;;;;;;;;;;;11;;;;2;;;;;;;15;;;;;;;;20;;;;;;;;;;;;;;50;;13;;32;;;;;;;;;;;;;;3;2;;2;23;;;;;2;;;;;;;2;;3;;;;;;;;;;;;;;;;3;;;4;2;;;;;;;;;22;;;;;;;;;;;;;;;4;;;;;;;;;;;;2;;;;;;;;;7;;;22;;24;;;;;20;;;;;;;;;;;12;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;;;;;;;;;;;;;;;27;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;4;3;;;;;33;3;2;;4;;;3;3;;2;;2;;;;;;;;;14;;;;;4;;2;;;3;10;;;3;808
:52;4;19;;;;12;;24;;;;;;;;;;;;;;;;4;;;2;;;;;;;;;;;18;;;;;;;;;;;;;;9;;;;;;;;4;;;;;;;;40;2;;;;;;;;;;;;;30;;;;;;;;3;;;6;25;;;;;;;14;;;;;;;;;;;;14;;;;;;;;;2;;89;;;;;;2;15;;;;;;;;;;;;;;;12;;;;;;;;5;;;;2;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;38;;16;;;;;;;;;;;;;;;;4;;;;2;;;;7;;;;;;;;16;;;;;;;2;;;;;;;3;;;;;;;;3;;;;2;;;;;9;;;;;;;;;;;;;;;9;;;;;;;;;2;;;;;;;;17;;;;26;;;;;;;;3;;3;;;;;;;;;2;2;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;15;;4;2;;;;;;;;;;;;;;;;;;;3;;;;;2;;;2;2;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;3;;5;;7;;;;71;2;8;;;;;10;14;;2;5;;;;;;;;;;4;;;;;2;;;;;;;2;;3;764
:53;39;19;;;;;;21;;;;;;;;;;;;2;4;;;7;;;;;;;;;;;;;4;22;;;;;;;;3;;;;;;21;;;;;;;;5;;;;;;;;4;2;;;;;;;;4;;;5;;;2;;;;;;;;;;;6;;;;;;;33;;;5;;;;;2;;;;;4;;;;;;;;;;81;;;;;;;31;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;27;;4;;;;;;;;;;;;;;;;4;;2;;27;5;;7;24;;;;;;;;2;2;3;;;;;2;;;;;4;;;;;;;;;;7;;;;2;;3;;;19;;18;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;18;;;;16;;;;4;;;;6;;26;;;;;;;;;;;8;;;;;;;;;;;2;;;;2;;;;4;;;;;;;;;;;;;;2;;3;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;2;;18;;;;;;;;;;;34;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;3;;4;;;;;;43;;33;;;;;;10;;;7;9;;;10;;;;;;9;;;;;;;;;;;;3;;3;863
:54;5;17;;;;;4;;16;;7;;;2;;;3;;;;;;;23;;;;;;;;;;;;;2;36;;4;2;;;;;17;;;;;6;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;10;3;;3;;;;;;;;;;;;;;;;;;;10;;;3;;;;;;;;;15;3;;;;;2;2;;4;;84;;2;;;;;6;7;;;;;;;;;;2;;;;14;;;;;;;;;;;;;;;;;;;;;;5;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;22;40;;;;;;;;;;;;;;;;;;3;;7;;15;6;;;;;;;;;;;2;3;;;;;;;;;;8;9;;;;;;;;8;4;7;;;;;;12;;;7;;9;;;;;;;;;;;3;;;;;;;;;;;2;;;;;;;;18;;;;;;;;;14;;;2;;14;2;;;;;;;;;;5;;;;;;;;;;;10;;;;;;;;7;2;;;3;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;10;32;2;4;7;6;;;;;;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;15;;;;;;6;;;;;;63;;40;;;;;;;;4;5;15;;;17;;;;;;16;;;;;;;;;;;6;13;;;923
:55;14;;;5;;;;;38;;;3;;;;;14;;;;;;;28;;;;;;;;;;;26;;5;15;;4;28;;;;;;;;;;4;6;;;2;;;;;;;;;;;;;;;;;;2;;;;;;23;;;13;;;;;;;;16;;;;;;2;;;;;22;;;3;;;;;;;;;8;2;;;;;;;;;;72;;2;;;;;5;9;;;;;;;;;;2;;;;10;;;;;;;;16;;;;;;;;;;;;;;40;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;2;9;24;;;;;;;7;;;;;;;;;;;;;2;;24;4;;;;;;;;;;;;8;;;;;;;;;;6;;10;;;;;;;;;;;;;;;2;;;;;9;;;;;;;;4;;;2;;;;;;;;;;;;;;;;;;;3;;;;;;;;;27;;;2;;7;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;2;;2;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;21;4;;;11;7;10;5;2;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;5;;;;;;6;;;8;;;59;;;;;;;;6;;;5;;;;38;;;;;;26;;;;4;;;;;;;;2;;;897
:56;21;;;;;;12;;9;;;6;;;;;;;3;;4;;;27;;;;;;;;;;;5;;10;;;4;;3;;;;;;;;;4;2;;;;;;;;;;9;5;;;;;9;;;;;;;;;;;35;8;;;3;;;;;;;11;;;24;;;;;;;;20;;;2;;2;;;;;3;;;3;;;;4;;;;;;29;;2;;;;;3;;;;;;15;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;43;;;;2;;;;;;;;;;;;;;;8;;;;3;;;;;;;;;7;;;;;3;;;2;;;;;;;;;;;2;;;;40;;;;;;;;;;;;;10;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;;;;;30;;;3;;23;2;;;;;;;;;;;;3;;;6;;;;;;26;;;;;;2;;;2;;;;;;;;;;;;;;21;2;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;5;;12;3;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;23;;;;;;3;;;;;;49;;;;15;;;;10;;16;9;;;;22;;;;;;6;;3;;15;;3;3;;;;15;;;;866
